Area,Tote Colour,Loop,Suffix,Number,Asset Code
Module Loop Blue,Blue,Module,C0704,STA139,C0704STA139
Module Loop Blue,Blue,Module,C0704,STA141,C0704STA141
Module Loop Blue,Blue,Module,C0704,STA144,C0704STA144
Module Loop Blue,Blue,Module,C0704,STA149,C0704STA149
Module Loop Blue,Blue,Module,C0704,STA151,C0704STA151
Module Loop Blue,Blue,Module,C0704,STA203,C0704STA203
Module Loop Blue,Blue,Module,C0704,STA208,C0704STA208
Module Loop Blue,Blue,Module,C0704,STA213,C0704STA213
Module Loop Blue,Blue,Module,C0801,ACH086,C0801ACH086
Module Loop Blue,Blue,Module,C0801,BCH009,C0801BCH009
Module Loop Blue,Blue,Module,C0801,BCH021,C0801BCH021
Module Loop Blue,Blue,Module,C0801,BCL008,C0801BCL008
Module Loop Blue,Blue,Module,C0801,RDC003,C0801RDC003
Module Loop Blue,Blue,Module,C0801,RDC004,C0801RDC004
Module Loop Blue,Blue,Module,C0801,RDC007,C0801RDC007
Module Loop Blue,Blue,Module,C0801,STA005,C0801STA005
Module Loop Blue,Blue,Module,C0802,ACH023,C0802ACH023
Module Loop Blue,Blue,Module,C0802,ACH025,C0802ACH025
Module Loop Blue,Blue,Module,C0802,ACH033,C0802ACH033
Module Loop Blue,Blue,Module,C0802,ACH043,C0802ACH043
Module Loop Blue,Blue,Module,C0802,ACL027,C0802ACL027
Module Loop Blue,Blue,Module,C0802,ACL028,C0802ACL028
Module Loop Blue,Blue,Module,C0802,ACL035,C0802ACL035
Module Loop Blue,Blue,Module,C0802,ACL045,C0802ACL045
Module Loop Blue,Blue,Module,C0802,RDC031,C0802RD031
Module Loop Blue,Blue,Module,C0802,RDC029,C0802RDC029
Module Loop Blue,Blue,Module,C0802,RDC036,C0802RDC036
Module Loop Blue,Blue,Module,C0802,RDC038,C0802RDC038
Module Loop Blue,Blue,Module,C0802,RDC040,C0802RDC040
Module Loop Blue,Blue,Module,C0802,RDC042,C0802RDC042
Module Loop Blue,Blue,Module,C0802,RDC046,C0802RDC046
Module Loop Blue,Blue,Module,C0802,RDC048,C0802RDC048
Module Loop Blue,Blue,Module,C0802,RDC050,C0802RDC050
Module Loop Blue,Blue,Module,C0802,STA024,C0802STA024
Module Loop Blue,Blue,Module,C0802,STA026,C0802STA026
Module Loop Blue,Blue,Module,C0802,STA030,C0802STA030
Module Loop Blue,Blue,Module,C0802,STA032,C0802STA032
Module Loop Blue,Blue,Module,C0802,STA034,C0802STA034
Module Loop Blue,Blue,Module,C0802,STA039,C0802STA039
Module Loop Blue,Blue,Module,C0802,STA041,C0802STA041
Module Loop Blue,Blue,Module,C0802,STA044,C0802STA044
Module Loop Blue,Blue,Module,C0802,STA049,C0802STA049
Module Loop Blue,Blue,Module,C0802,STA051,C0802STA051
Module Loop Blue,Blue,Module,C0803,ACH186,C0803ACH186
Module Loop Blue,Blue,Module,C0803,BCH109,C0803BCH109
